2014-10-16 12:10:019 INFO  Student - Student{}createdFroog
2014-12-16 12:12:030 INFO  Student - Student created name:Poltclod
2014-12-16 12:12:030 INFO  Student - Student find name by group:4
2014-12-16 12:12:030 INFO  Student - Student created name:Gruck
2014-12-16 12:12:030 INFO  Student - Student find name by group:4
2014-12-16 12:12:030 INFO  Student - Student created name:Broronmoo
2014-12-16 12:12:030 INFO  Student - Student find name by group:4
2014-12-16 12:12:030 INFO  Student - Student created name:Pomph
2014-12-16 12:12:030 INFO  Student - Student find name by group:4
2014-12-16 12:12:030 INFO  Student - Student created name:Boozthung
2014-12-16 12:12:030 INFO  Student - Student find name by group:4
2014-12-16 12:12:030 INFO  Student - Student created name:Wonk
2014-12-16 12:12:030 INFO  Student - Student find name by group:4
2014-13-16 12:13:058 INFO  Student - input.txt opened
2014-13-16 12:13:058 INFO  Student - Student created name:Poltclod
2014-13-16 12:13:058 INFO  Student - Student find by group:4
2014-13-16 12:13:058 INFO  Student - Student created name:Gruck
2014-13-16 12:13:058 INFO  Student - Student find by group:4
2014-13-16 12:13:058 INFO  Student - Student created name:Broronmoo
2014-13-16 12:13:058 INFO  Student - Student find by group:4
2014-13-16 12:13:058 INFO  Student - Student created name:Pomph
2014-13-16 12:13:058 INFO  Student - Student find by group:4
2014-13-16 12:13:058 INFO  Student - Student created name:Boozthung
2014-13-16 12:13:058 INFO  Student - Student find by group:4
2014-13-16 12:13:058 INFO  Student - Student created name:Wonk
2014-13-16 12:13:058 INFO  Student - Student find by group:4
2014-14-16 12:14:017 INFO  Student - input.txt opened
2014-14-16 12:14:017 INFO  Student - Student created name:Poltclod
2014-14-16 12:14:017 INFO  Student - Student find by group:4
2014-14-16 12:14:017 INFO  Student - Student created name:Gruck
2014-14-16 12:14:017 INFO  Student - Student find by group:4
2014-14-16 12:14:017 INFO  Student - Student created name:Broronmoo
2014-14-16 12:14:017 INFO  Student - Student find by group:4
2014-14-16 12:14:017 INFO  Student - Student created name:Pomph
2014-14-16 12:14:017 INFO  Student - Student find by group:4
2014-14-16 12:14:017 INFO  Student - Student created name:Boozthung
2014-14-16 12:14:017 INFO  Student - Student find by group:4
2014-14-16 12:14:017 INFO  Student - Student created name:Wonk
2014-14-16 12:14:017 INFO  Student - Student find by group:4
2014-14-16 12:14:029 INFO  Student - input.txt opened
2014-14-16 12:14:029 INFO  Student - Student created name:Poltclod
2014-14-16 12:14:029 INFO  Student - Student find by group:4
2014-14-16 12:14:029 INFO  Student - Student created name:Gruck
2014-14-16 12:14:029 INFO  Student - Student find by group:4
2014-14-16 12:14:029 INFO  Student - Student created name:Broronmoo
2014-14-16 12:14:029 INFO  Student - Student find by group:4
2014-14-16 12:14:029 INFO  Student - Student created name:Pomph
2014-14-16 12:14:029 INFO  Student - Student find by group:4
2014-14-16 12:14:029 INFO  Student - Student created name:Boozthung
2014-14-16 12:14:029 INFO  Student - Student find by group:4
2014-14-16 12:14:029 INFO  Student - Student created name:Wonk
2014-14-16 12:14:029 INFO  Student - Student find by group:4
2014-14-16 12:14:046 INFO  Student - input.txt opened
2014-14-16 12:14:046 INFO  Student - Student created name:Poltclod
2014-14-16 12:14:046 INFO  Student - Student find by group:4
2014-14-16 12:14:046 INFO  Student - Student created name:Gruck
2014-14-16 12:14:046 INFO  Student - Student find by group:4
2014-14-16 12:14:046 INFO  Student - Student created name:Broronmoo
2014-14-16 12:14:046 INFO  Student - Student find by group:4
2014-14-16 12:14:046 INFO  Student - Student created name:Pomph
2014-14-16 12:14:046 INFO  Student - Student find by group:4
2014-14-16 12:14:046 INFO  Student - Student created name:Boozthung
2014-14-16 12:14:046 INFO  Student - Student find by group:4
2014-14-16 12:14:046 INFO  Student - Student created name:Wonk
2014-14-16 12:14:046 INFO  Student - Student find by group:4
2014-15-16 12:15:024 INFO  Student - input.txt opened
2014-15-16 12:15:024 INFO  Student - Student created name:Gugfork
2014-15-16 12:15:024 INFO  Student - Student find by group:2
2014-15-16 12:15:024 INFO  Student - Student created name:Fruzzbumb
2014-15-16 12:15:024 INFO  Student - Student find by group:2
2014-15-16 12:15:024 INFO  Student - Student created name:Muck
2014-15-16 12:15:024 INFO  Student - Student find by group:2
2014-15-16 12:15:024 INFO  Student - Student created name:Donkonk
2014-15-16 12:15:024 INFO  Student - Student find by group:2
2014-15-16 12:15:024 INFO  Student - Student created name:Dolphgook
2014-15-16 12:15:024 INFO  Student - Student find by group:2
2014-15-16 12:15:024 INFO  Student - Student created name:Guzz
2014-15-16 12:15:024 INFO  Student - Student find by group:2
